generation,scenario,id,normPref,aprioriAck,legalAck,careAck,epistemicAck,attempts,successes,conflict,debt,momentum,trustCount,trustMax,fulfilled,denied,expired,repaired,role,temperament,moralStance,scenarioGroup,memoryLength,affiliation,enableMoralRepair,enableDirectedEmergence,enableNonReciprocalTargeting,batchRun
21,utopian,10377,care,true,true,false,false,0,0,0,0,1.000,0,0,0,0,0,0,mediator,0.4112658821600549,proactive,pluralist,0.4586507796637759,pref_care,true,true,true,1
21,utopian,10379,epistemic,false,true,true,true,0,0,0,0,0.789,0,0,0,0,0,0,initiator,0.363234271654409,reactive,pluralist,0.31180878538607115,pref_epistemic,true,true,true,1
21,utopian,10380,care,true,true,true,true,0,0,0,0,0.762,0,0,0,0,0,0,mediator,0.5493479115484129,proactive,utopian,0.35363771154526813,pref_care,true,true,true,1
21,utopian,10381,apriori,true,false,true,false,0,0,0,0,0.536,0,0,0,0,0,0,initiator,0.44769988539209726,reactive,pluralist,0.45728265370594406,pref_apriori,true,true,true,1
21,utopian,10382,care,true,true,true,true,0,0,0,0,0.224,0,0,0,0,0,0,initiator,0.8643218430543154,reactive,utopian,0.35067249130365075,pref_care,true,true,true,1
21,utopian,10384,care,true,true,true,true,0,0,0,0,1.000,0,0,0,0,0,0,responder,0.2957093492767924,proactive,utopian,0.7310717849800141,pref_care,true,true,true,1
21,utopian,10386,epistemic,true,false,true,true,0,0,0,0,0.900,0,0,0,0,0,0,mediator,0.10097809151410364,reactive,pluralist,0.6536776183485944,pref_epistemic,true,true,true,1
21,utopian,10389,apriori,true,true,true,true,0,0,0,0,0.374,0,0,0,0,0,0,responder,0.29264554622163264,reactive,utopian,0.33035177396592896,pref_apriori,true,true,true,1
21,utopian,10390,care,true,true,true,false,0,0,0,0,0.768,0,0,0,0,0,0,mediator,0.7889582649613823,proactive,pluralist,0.7454786001644929,pref_care,true,true,true,1
21,utopian,10391,legal,true,true,true,false,0,0,0,0,0.555,0,0,0,0,0,0,mediator,0.8685492296065113,proactive,pluralist,0.6529064891222771,pref_legal,true,true,true,1
21,utopian,10392,legal,true,true,false,true,0,0,0,0,0.499,0,0,0,0,0,0,mediator,0.06504482442060255,proactive,pluralist,0.5417199683005596,pref_legal,true,true,true,1
21,utopian,10393,epistemic,true,true,false,false,0,0,0,0,0.525,0,0,0,0,0,0,mediator,0.6054073183981783,proactive,pluralist,0.686938453384325,pref_epistemic,true,true,true,1
